,PLAYER,TM,FANTPOS,AGE,G,GS,CMP,P-ATT,P-YDS,P-TD,INT,RE-ATT,RE-YDS,Y/A,RE-TD,TGT,REC,RU-YDS,Y/R,RU-TD,FMB,FL,S-TD,2PM,2PP,FANTPT,PPR,DKPT,FDPT,VBD,POSRANK,OVRANK
0,Derrick Henry*+,TEN,RB,26,16,16,0,0,0,0,0,378,2027,5.36,17,31,19,114,6.00,0,3,2,17,1,-,314,333.1,341.1,323.6,184,1,1
543,Cody Hollister,TEN,WR,27,2,0,0,0,0,0,0,0,0,-,0,1,1,12,12.00,0,0,0,0,-,-,1,2.2,2.2,1.7,-,209,-
477,Khari Blasingame,TEN,RB,24,15,7,0,0,0,0,0,0,0,-,0,5,4,39,9.75,0,0,0,0,-,-,4,7.9,7.9,5.9,-,138,-
475,Nick Westbrook-Ikhine,TEN,WR,23,14,1,0,0,0,0,0,0,0,-,0,8,3,33,11.00,0,0,0,0,1,-,5,8.3,8.3,6.8,-,184,-
390,Geoff Swaim,TEN,TE,27,10,8,0,0,0,0,0,0,0,-,0,12,9,83,9.22,1,0,0,1,-,-,14,23.3,23.3,18.8,-,70,-
388,Darrynton Evans,TEN,RB,22,5,0,0,0,0,0,0,14,54,3.86,0,4,2,27,13.50,1,0,0,1,-,-,14,16.1,16.1,15.1,-,110,-
373,D'Onta Foreman,TEN,RB,24,6,0,0,0,0,0,0,22,95,4.32,0,1,1,5,5.00,1,0,0,1,-,-,16,17.0,17.0,16.5,-,104,-
355,Kalif Raymond,TEN,WR,26,15,3,0,0,0,0,0,1,-3,-3.00,0,15,9,187,20.78,0,0,0,0,-,-,18,27.4,30.4,22.9,-,138,-
552,Senorise Perry,TEN,RB,29,7,0,0,0,0,0,0,2,9,4.50,0,0,0,0,-,0,0,0,0,-,-,1,0.9,0.9,0.9,-,154,-
346,Cameron Batson,TEN,WR,25,12,1,0,0,0,0,0,4,20,5.00,0,13,12,100,8.33,1,1,0,1,-,-,18,30.0,33.0,24.0,-,140,-
287,Jeremy McNichols,TEN,RB,25,16,0,0,0,0,0,0,47,204,4.34,1,17,12,55,4.58,0,0,0,1,-,-,32,43.9,46.9,37.9,-,82,-
276,Adam Humphries,TEN,WR,27,7,1,0,0,0,0,0,0,0,-,0,35,23,228,9.91,2,0,0,2,-,-,35,57.8,60.8,46.3,-,111,-
249,Anthony Firkser,TEN,TE,25,16,1,0,0,0,0,0,0,0,-,0,53,39,387,9.92,1,0,0,1,-,-,45,83.7,86.7,64.2,-,32,-
73,Corey Davis,TEN,WR,25,14,12,0,0,0,0,0,0,0,-,0,92,65,984,15.14,5,1,1,5,-,-,126,191.4,195.4,158.9,-,29,74
66,Jonnu Smith,TEN,TE,25,15,14,0,0,0,0,0,2,4,2.00,1,65,41,448,10.93,8,0,0,9,-,-,99,140.2,143.2,119.7,9,9,67
27,A.J. Brown*,TEN,WR,23,14,12,0,0,0,0,0,0,0,-,0,106,70,1075,15.36,11,2,1,12,-,-,178,247.5,251.5,212.5,52,9,28
22,Ryan Tannehill,TEN,QB,32,16,16,315,481,3819,33,7,43,266,6.19,7,1,1,0,0.00,0,6,1,7,2,1,343,344.4,358.4,350.9,61,7,23
328,MyCole Pruitt,TEN,TE,28,11,4,0,0,0,0,0,0,0,-,0,8,5,49,9.80,2,0,0,3,-,-,23,27.9,27.9,25.4,-,60,-
562,Logan Woodside,TEN,QB,25,6,0,1,3,7,0,0,7,10,1.43,0,0,0,0,-,0,0,0,0,-,-,1,1.3,1.3,1.3,-,75,-
